Month,Day,Year,Latitude,Longitude,Sea_Surface_Temperature,HotSpots,Degree_Heating_Weeks,Bleaching_Alert_Area
4,30,2014,24.75,-81.625,28.2175,0,0,0
5,1,2014,24.75,-81.625,27.8645,0,0,0
5,2,2014,24.75,-81.625,27.7193,0,0,0
5,3,2014,24.75,-81.625,27.9961,0,0,0
5,4,2014,24.75,-81.625,27.4405,0,0,0
5,5,2014,24.75,-81.625,28.0962,0,0,0
5,6,2014,24.75,-81.625,27.2923,0,0,0
5,7,2014,24.75,-81.625,27.4241,0,0,0
5,8,2014,24.75,-81.625,26.9329,0,0,0
5,9,2014,24.75,-81.625,27.0414,0,0,0
5,10,2014,24.75,-81.625,26.9887,0,0,0
5,11,2014,24.75,-81.625,27.2307,0,0,0
5,12,2014,24.75,-81.625,27.3445,0,0,0
5,13,2014,24.75,-81.625,27.2589,0,0,0
5,14,2014,24.75,-81.625,27.3017,0,0,0
5,15,2014,24.75,-81.625,27.2115,0,0,0
5,16,2014,24.75,-81.625,27.3993,0,0,0
5,17,2014,24.75,-81.625,27.2106,0,0,0
5,18,2014,24.75,-81.625,27.0038,0,0,0
5,19,2014,24.75,-81.625,27.0077,0,0,0
5,20,2014,24.75,-81.625,26.6543,0,0,0
5,21,2014,24.75,-81.625,26.6685,0,0,0
5,22,2014,24.75,-81.625,26.6583,0,0,0
5,23,2014,24.75,-81.625,26.7787,0,0,0
5,24,2014,24.75,-81.625,26.7724,0,0,0
5,25,2014,24.75,-81.625,27.414,0,0,0
5,26,2014,24.75,-81.625,28.0016,0,0,0
5,27,2014,24.75,-81.625,27.6576,0,0,0
5,28,2014,24.75,-81.625,27.6041,0,0,0
5,29,2014,24.75,-81.625,28.3919,0,0,0
5,30,2014,24.75,-81.625,28.433,0,0,0
5,31,2014,24.75,-81.625,28.4742,0,0,0
6,1,2014,24.75,-81.625,28.3071,0,0,0
6,2,2014,24.75,-81.625,27.5501,0,0,0
6,3,2014,24.75,-81.625,27.0908,0,0,0
6,4,2014,24.75,-81.625,27.0868,0,0,0
6,5,2014,24.75,-81.625,27.5986,0,0,0
6,6,2014,24.75,-81.625,27.8524,0,0,0
6,7,2014,24.75,-81.625,28.0365,0,0,0
6,8,2014,24.75,-81.625,29.0594,0,0,0
6,9,2014,24.75,-81.625,29.1142,0,0,0
6,10,2014,24.75,-81.625,29.248,0,0,0
6,11,2014,24.75,-81.625,29.6179,0,0,0
6,12,2014,24.75,-81.625,30.1361,0.2875,0,1
6,13,2014,24.75,-81.625,30.1361,0.2875,0,1
6,14,2014,24.75,-81.625,30.1361,0.2875,0,1
6,15,2014,24.75,-81.625,30.1361,0.2875,0,1
6,16,2014,24.75,-81.625,29.6474,0,0,1
6,17,2014,24.75,-81.625,29.1242,0,0,1
6,18,2014,24.75,-81.625,28.8263,0,0,1
6,19,2014,24.75,-81.625,28.6152,0,0,1
6,20,2014,24.75,-81.625,28.6727,0,0,1
6,21,2014,24.75,-81.625,28.9832,0,0,1
6,22,2014,24.75,-81.625,29.5012,0,0,0
6,23,2014,24.75,-81.625,29.7463,0,0,0
6,24,2014,24.75,-81.625,30.7179,1.0858,0.1551,2
6,25,2014,24.75,-81.625,31.0507,1.1773,0.3233,2
6,26,2014,24.75,-81.625,30.1944,0.4821,0.3233,2
6,27,2014,24.75,-81.625,30.0466,0.3617,0.3233,2
6,28,2014,24.75,-81.625,30.4865,0.8188,0.3233,2
6,29,2014,24.75,-81.625,31.03,1.4449,0.5297,2
6,30,2014,24.75,-81.625,30.138,0.4199,0.5297,2
7,1,2014,24.75,-81.625,30.2781,0.5804,0.5297,2
7,2,2014,24.75,-81.625,29.9359,0.1511,0.5297,2
7,3,2014,24.75,-81.625,30.6968,0.847,0.5297,2
7,4,2014,24.75,-81.625,31.175,1.3647,0.7247,2
7,5,2014,24.75,-81.625,31.0712,1.3366,0.9156,2
7,6,2014,24.75,-81.625,30.673,1.0005,1.0585,2
7,7,2014,24.75,-81.625,30.1499,0.582,1.0585,2
7,8,2014,24.75,-81.625,30.6367,0.9164,1.0585,2
7,9,2014,24.75,-81.625,30.5442,0.9295,1.0585,2
7,10,2014,24.75,-81.625,30.6075,0.7876,1.0585,2
7,11,2014,24.75,-81.625,30.3814,0.7488,1.0585,2
